Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,d,529,1001,490,735,0.13720792647058822,32,82
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,e,434,1001,386,441,0.08155345749675019,18,46
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,f,315,1001,416,726,0.09593449411764704,36,80
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,g,494,1001,494,701,0.14808983681486598,39,111
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,h,545,1001,519,726,0.1374189882352941,49,113
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,i,271,1001,245,647,0.0627843725490196,28,70
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,j,258,1001,284,931,0.0912453019607843,23,61
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,k,510,1001,524,726,0.13277543529411764,54,132
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,l,260,1001,264,726,0.0849334588235294,26,60
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,m,816,1001,766,432,0.15961637647058824,69,157
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,n,549,1001,502,432,0.10545543529411765,48,110
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,o,510,1001,446,441,0.09410075294117648,14,42
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,p,523,1001,476,704,0.1340416,36,84
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,q,506,1001,474,705,0.1350742,33,79
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,r,358,1001,345,438,0.06459211764705883,31,71
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,s,370,1001,299,441,0.06885977205882354,26,66
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,t,331,1001,319,543,0.06798052368212887,23,53
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,u,526,1001,505,433,0.10209516012277942,41,101
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,v,454,1001,500,435,0.06908823529411763,34,84
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,w,678,1001,718,435,0.11880788235294118,52,112
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,x,432,1001,468,423,0.08229091764705883,56,130
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,y,438,1001,478,692,0.08950409411764707,36,90
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,z,444,1001,444,445,0.08069551709280795,22,46
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,A,650,1001,752,688,0.13606439555120364,39,85
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,B,626,1001,634,676,0.1698921773160773,35,87
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,C,664,1001,636,706,0.13060132320128198,29,75
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,D,796,1001,784,676,0.1787868024529977,28,72
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,E,677,1001,708,676,0.14648999499978227,50,110
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,F,632,1001,720,687,0.13014084666938916,43,99
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,G,722,1001,664,700,0.14764235294117647,33,81
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,H,786,1001,913,676,0.19605437918464252,60,132
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,I,374,1001,490,676,0.09362202352941178,26,58
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,J,380,1001,614,873,0.11144287840537308,23,57
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,K,716,1001,819,676,0.16939762370185332,57,133
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,L,648,1001,627,689,0.11525045561953719,34,82
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,M,954,1001,1050,676,0.21989882352941179,52,116
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,N,764,1001,897,676,0.15234738807522008,41,91
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,O,726,1001,636,700,0.1623670588235294,10,30
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,P,608,1001,654,676,0.14216677647058823,29,69
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,Q,742,1001,662,949,0.21434002352941178,28,80
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,R,709,1001,701,676,0.17666796078431374,40,96
ACaslonPro-SemiboldItalic,Adobe Caslon,Serif,Semibold,Text,Italic,Regular,Semibold Italic,Upper,S,508,1001,483,700,0.11539861051977582,30,78
